Routine begin.
(-0.378452, 2.390929, 3.710236, 1072.300000)
(-0.378478, 2.390917, 3.710306, 1072.311000)
(-0.378508, 2.390941, 3.710271, 1072.322000)
(-0.378543, 2.390933, 3.710335, 1072.333000)
(-0.378548, 2.390837, 3.710382, 1072.344000)
(-0.378584, 2.390817, 3.710448, 1072.356000)
(-0.378656, 2.390874, 3.710618, 1072.367000)
(-0.378690, 2.390867, 3.710687, 1072.378000)
(-0.378658, 2.390778, 3.710643, 1072.389000)
(-0.378802, 2.390794, 3.710734, 1072.400000)
(-0.378841, 2.390774, 3.710806, 1072.411000)
(-0.378724, 2.390695, 3.710626, 1072.422000)
(-0.378727, 2.390659, 3.710705, 1072.433000)
(-0.378457, 2.390766, 3.710334, 1072.444000)
(-0.378376, 2.390837, 3.710104, 1072.456000)
(-0.378404, 2.390822, 3.710126, 1072.467000)
(-0.378478, 2.390802, 3.710299, 1072.478000)
(-0.378473, 2.390813, 3.710261, 1072.489000)
(-0.378322, 2.390805, 3.709863, 1072.500000)
(-0.378330, 2.390787, 3.709882, 1072.511000)
(-0.378452, 2.390748, 3.710015, 1072.522000)
(-0.378483, 2.390710, 3.710039, 1072.533000)
(-0.378605, 2.390721, 3.710081, 1072.544000)
(-0.378638, 2.390670, 3.710324, 1072.556000)
(-0.378646, 2.390658, 3.710356, 1072.567000)
(-0.378653, 2.390635, 3.710388, 1072.578000)
(-0.378671, 2.390667, 3.710365, 1072.589000)
(-0.378705, 2.390634, 3.710377, 1072.600000)
(-0.378726, 2.390606, 3.710403, 1072.611000)
(-0.378717, 2.390588, 3.710445, 1072.622000)
(-0.378751, 2.390569, 3.710472, 1072.633000)
(-0.378794, 2.390561, 3.710505, 1072.645000)
(-0.378633, 2.390611, 3.710330, 1072.656000)
(-0.378641, 2.390577, 3.710381, 1072.667000)
(-0.378212, 2.390738, 3.709906, 1072.678000)
(-0.378230, 2.390737, 3.709932, 1072.689000)
(-0.378260, 2.390742, 3.709849, 1072.700000)
(-0.378395, 2.390638, 3.710018, 1072.711000)
(-0.378379, 2.390598, 3.710058, 1072.722000)
(-0.378375, 2.390610, 3.710091, 1072.733000)
(-0.378340, 2.390662, 3.709900, 1072.745000)
(-0.378129, 2.390752, 3.709570, 1072.756000)
(-0.378119, 2.390734, 3.709592, 1072.767000)
(-0.377884, 2.390730, 3.709195, 1072.778000)
(-0.377897, 2.390722, 3.709188, 1072.789000)
(-0.378134, 2.390679, 3.709664, 1072.800000)
(-0.378120, 2.390658, 3.709678, 1072.811000)
(-0.378302, 2.390695, 3.709819, 1072.822000)
(-0.378498, 2.390562, 3.709924, 1072.833000)
(-0.378536, 2.390549, 3.709920, 1072.844000)
(-0.378683, 2.390539, 3.710391, 1072.856000)
(-0.378704, 2.390526, 3.710430, 1072.867000)
(-0.378732, 2.390506, 3.710513, 1072.878000)
(-0.378754, 2.390489, 3.710554, 1072.889000)
(-0.378703, 2.390389, 3.710398, 1072.900000)
(-0.378709, 2.390367, 3.710447, 1072.911000)
(-0.378394, 2.390492, 3.710016, 1072.922000)
(-0.378133, 2.390547, 3.709713, 1072.933000)
(-0.378133, 2.390531, 3.709757, 1072.944000)
(-0.378187, 2.390429, 3.709737, 1072.956000)
(-0.378193, 2.390404, 3.709763, 1072.967000)
(-0.378073, 2.390536, 3.709593, 1072.978000)
(-0.378211, 2.390537, 3.709780, 1072.989000)
(-0.378225, 2.390539, 3.709796, 1073.000000)
(-0.378153, 2.390480, 3.709672, 1073.011000)
(-0.378165, 2.390469, 3.709685, 1073.022000)
(-0.378245, 2.390513, 3.709713, 1073.033000)
(-0.378262, 2.390496, 3.709731, 1073.044000)
(-0.378062, 2.390559, 3.709554, 1073.056000)
(-0.378019, 2.390468, 3.709414, 1073.067000)
(-0.378033, 2.390464, 3.709409, 1073.078000)
(-0.377799, 2.390581, 3.708989, 1073.089000)
(-0.377802, 2.390573, 3.708996, 1073.100000)
(-0.377711, 2.390621, 3.708852, 1073.111000)
(-0.377679, 2.390655, 3.708719, 1073.122000)
(-0.377715, 2.390534, 3.708804, 1073.133000)
(-0.377725, 2.390520, 3.708804, 1073.145000)
(-0.377604, 2.390625, 3.708758, 1073.156000)
(-0.377620, 2.390621, 3.708755, 1073.167000)
(-0.377424, 2.390758, 3.708307, 1073.178000)
(-0.377451, 2.390667, 3.708273, 1073.189000)
(-0.377454, 2.390672, 3.708260, 1073.200000)
(-0.377424, 2.390712, 3.708247, 1073.211000)
(-0.377226, 2.390694, 3.708065, 1073.222000)
(-0.377071, 2.390792, 3.707889, 1073.233000)
(-0.377043, 2.390795, 3.707880, 1073.245000)
(-0.377121, 2.390742, 3.707881, 1073.256000)
(-0.377115, 2.390750, 3.707859, 1073.267000)
(-0.376838, 2.390793, 3.707457, 1073.278000)
(-0.376837, 2.390780, 3.707520, 1073.289000)
(-0.376812, 2.390756, 3.707548, 1073.300000)
(-0.376799, 2.390740, 3.707652, 1073.311000)
(-0.376766, 2.390722, 3.707635, 1073.322000)
(-0.376755, 2.390781, 3.707506, 1073.333000)
(-0.376717, 2.390774, 3.707499, 1073.344000)
(-0.376772, 2.390698, 3.707462, 1073.356000)
(-0.376751, 2.390681, 3.707443, 1073.367000)
(-0.376761, 2.390663, 3.707435, 1073.378000)
(-0.376728, 2.390654, 3.707407, 1073.389000)
(-0.376706, 2.390630, 3.707391, 1073.400000)
(-0.376848, 2.390630, 3.707602, 1073.411000)
(-0.376859, 2.390587, 3.707573, 1073.422000)
Stop Time
(-0.000856, 1073.429000)
Routine end.
