Routine begin.
(-0.375753, 2.364048, 3.699230, 960.611100)
(-0.376082, 2.363988, 3.699718, 960.622300)
(-0.376150, 2.363984, 3.699900, 960.633400)
(-0.376244, 2.363987, 3.700069, 960.644500)
(-0.376206, 2.363982, 3.699943, 960.655600)
(-0.376247, 2.363965, 3.700045, 960.666700)
(-0.376137, 2.363987, 3.699806, 960.677800)
(-0.376199, 2.363976, 3.699887, 960.688900)
(-0.376280, 2.363969, 3.699977, 960.700000)
(-0.376306, 2.363975, 3.700002, 960.711100)
(-0.376308, 2.363989, 3.699982, 960.722200)
(-0.376392, 2.363946, 3.700116, 960.733300)
(-0.376392, 2.363927, 3.700090, 960.744400)
(-0.376509, 2.363894, 3.700229, 960.755600)
(-0.376562, 2.363809, 3.700279, 960.766700)
(-0.376527, 2.363800, 3.700188, 960.777800)
(-0.376575, 2.363777, 3.700218, 960.788900)
(-0.376424, 2.363838, 3.699992, 960.800000)
(-0.376426, 2.363833, 3.700023, 960.811200)
(-0.376308, 2.363904, 3.699802, 960.822300)
(-0.376423, 2.363925, 3.699921, 960.833400)
(-0.376477, 2.363919, 3.699900, 960.844500)
(-0.376564, 2.363888, 3.699905, 960.855600)
(-0.376551, 2.363883, 3.699929, 960.866700)
(-0.376609, 2.363787, 3.700069, 960.877800)
(-0.376769, 2.363732, 3.700370, 960.888900)
(-0.376787, 2.363726, 3.700374, 960.900000)
(-0.376761, 2.363642, 3.700549, 960.911100)
(-0.376740, 2.363619, 3.700582, 960.922200)
(-0.376643, 2.363595, 3.700483, 960.933300)
(-0.376655, 2.363581, 3.700515, 960.944500)
(-0.376612, 2.363535, 3.700464, 960.955600)
(-0.376586, 2.363513, 3.700518, 960.966700)
(-0.376761, 2.363446, 3.700727, 960.977800)
(-0.376786, 2.363422, 3.700763, 960.988900)
(-0.376748, 2.363414, 3.700629, 961.000000)
(-0.376930, 2.363343, 3.701001, 961.011100)
(-0.377005, 2.363320, 3.701101, 961.022200)
(-0.376987, 2.363309, 3.701052, 961.033400)
(-0.377009, 2.363287, 3.701091, 961.044500)
(-0.377039, 2.363277, 3.701155, 961.055600)
(-0.377074, 2.363254, 3.701183, 961.066700)
(-0.377048, 2.363225, 3.701150, 961.077800)
(-0.376915, 2.363289, 3.700934, 961.088900)
(-0.376867, 2.363276, 3.700884, 961.100000)
(-0.376862, 2.363291, 3.700815, 961.111100)
(-0.376865, 2.363289, 3.700833, 961.122300)
(-0.376795, 2.363311, 3.700693, 961.133400)
(-0.376794, 2.363306, 3.700702, 961.144500)
(-0.376959, 2.363328, 3.700839, 961.155600)
(-0.376901, 2.363323, 3.700652, 961.166700)
(-0.376894, 2.363333, 3.700672, 961.177800)
(-0.377041, 2.363249, 3.700917, 961.188900)
(-0.377032, 2.363244, 3.700941, 961.200000)
(-0.376710, 2.363238, 3.700572, 961.211100)
(-0.376700, 2.363220, 3.700582, 961.222200)
(-0.376634, 2.363261, 3.700495, 961.233300)
(-0.376613, 2.363257, 3.700514, 961.244400)
(-0.376487, 2.363239, 3.700325, 961.255600)
(-0.376442, 2.363235, 3.700204, 961.266700)
(-0.376442, 2.363240, 3.700214, 961.277800)
(-0.376318, 2.363244, 3.700047, 961.288900)
(-0.376308, 2.363239, 3.700037, 961.300000)
(-0.376238, 2.363258, 3.699935, 961.311200)
(-0.376233, 2.363261, 3.699918, 961.322300)
(-0.376215, 2.363275, 3.699879, 961.333400)
(-0.376200, 2.363268, 3.699850, 961.344500)
(-0.376177, 2.363265, 3.699691, 961.355600)
(-0.376105, 2.363255, 3.699542, 961.366700)
(-0.376103, 2.363256, 3.699492, 961.377800)
(-0.376148, 2.363239, 3.699575, 961.388900)
(-0.376125, 2.363239, 3.699546, 961.400000)
(-0.376003, 2.363284, 3.699358, 961.411100)
(-0.375997, 2.363275, 3.699316, 961.422200)
(-0.376099, 2.363210, 3.699471, 961.433300)
(-0.376085, 2.363216, 3.699454, 961.444500)
(-0.376179, 2.363129, 3.699551, 961.455600)
(-0.376196, 2.363151, 3.699558, 961.466700)
(-0.376200, 2.363157, 3.699535, 961.477800)
(-0.376077, 2.363113, 3.699394, 961.488900)
(-0.376055, 2.363112, 3.699390, 961.500000)
(-0.376167, 2.363072, 3.699612, 961.511100)
(-0.376142, 2.363078, 3.699616, 961.522200)
(-0.376096, 2.363096, 3.699568, 961.533400)
(-0.375990, 2.363114, 3.699440, 961.544500)
(-0.375987, 2.363103, 3.699418, 961.555600)
(-0.376042, 2.363101, 3.699521, 961.566700)
(-0.376209, 2.363001, 3.699766, 961.577800)
(-0.376188, 2.363003, 3.699707, 961.588900)
(-0.376186, 2.362998, 3.699655, 961.600000)
(-0.375981, 2.363016, 3.699309, 961.611100)
(-0.376006, 2.363005, 3.699359, 961.622300)
(-0.375991, 2.362999, 3.699308, 961.633400)
(-0.375883, 2.363019, 3.699105, 961.644500)
(-0.375847, 2.363012, 3.699038, 961.655600)
(-0.376067, 2.362911, 3.699458, 961.666700)
(-0.376039, 2.362895, 3.699384, 961.677800)
(-0.375855, 2.362950, 3.699098, 961.688900)
(-0.375805, 2.362933, 3.699020, 961.700000)
(-0.375711, 2.362955, 3.698824, 961.711100)
(-0.375679, 2.362941, 3.698754, 961.722200)
(-0.375804, 2.362870, 3.698969, 961.733300)
(-0.375938, 2.362824, 3.699173, 961.744400)
(-0.375909, 2.362813, 3.699124, 961.755600)
(-0.376154, 2.362756, 3.699441, 961.766700)
(-0.376118, 2.362744, 3.699412, 961.777800)
(-0.376016, 2.362788, 3.699416, 961.788900)
(-0.376206, 2.362765, 3.699704, 961.800000)
(-0.376180, 2.362762, 3.699674, 961.811200)
(-0.376124, 2.362707, 3.699613, 961.822300)
(-0.376085, 2.362710, 3.699576, 961.833400)
(-0.376256, 2.362637, 3.699900, 961.844500)
(-0.376236, 2.362627, 3.699852, 961.855600)
(-0.376178, 2.362638, 3.699816, 961.866700)
(-0.376043, 2.362698, 3.699687, 961.877800)
(-0.376007, 2.362691, 3.699625, 961.888900)
(-0.376254, 2.362586, 3.699969, 961.900000)
(-0.376236, 2.362572, 3.699892, 961.911100)
(-0.376355, 2.362521, 3.700004, 961.922200)
(-0.376325, 2.362502, 3.699942, 961.933300)
(-0.376197, 2.362464, 3.699600, 961.944500)
(-0.376174, 2.362430, 3.699523, 961.955600)
(-0.376139, 2.362392, 3.699492, 961.966700)
(-0.376016, 2.362463, 3.699369, 961.977800)
(-0.375986, 2.362442, 3.699313, 961.988900)
(-0.375956, 2.362431, 3.699265, 962.000000)
(-0.375945, 2.362437, 3.699265, 962.011100)
(-0.375904, 2.362437, 3.699239, 962.022200)
(-0.375872, 2.362430, 3.699208, 962.033400)
(-0.375801, 2.362488, 3.699083, 962.044500)
(-0.375764, 2.362489, 3.699062, 962.055600)
(-0.375870, 2.362474, 3.699199, 962.066700)
(-0.375836, 2.362479, 3.699167, 962.077800)
(-0.375718, 2.362509, 3.699013, 962.088900)
(-0.375649, 2.362489, 3.698889, 962.100000)
(-0.375630, 2.362489, 3.698827, 962.111100)
(-0.375615, 2.362463, 3.698774, 962.122300)
(-0.375589, 2.362454, 3.698701, 962.133400)
(-0.375381, 2.362531, 3.698441, 962.144500)
(-0.375345, 2.362525, 3.698353, 962.155600)
(-0.375384, 2.362446, 3.698432, 962.166700)
(-0.375218, 2.362556, 3.698211, 962.177800)
(-0.375167, 2.362565, 3.698108, 962.188900)
(-0.375225, 2.362443, 3.698168, 962.200000)
(-0.375185, 2.362439, 3.698052, 962.211100)
(-0.374909, 2.362492, 3.697621, 962.222200)
(-0.374842, 2.362500, 3.697504, 962.233300)
(-0.374914, 2.362504, 3.697598, 962.244400)
(-0.374943, 2.362473, 3.697620, 962.255600)
(-0.374882, 2.362483, 3.697516, 962.266700)
(-0.374892, 2.362458, 3.697533, 962.277800)
(-0.374845, 2.362475, 3.697453, 962.288900)
(-0.374863, 2.362452, 3.697545, 962.300000)
(-0.374790, 2.362474, 3.697481, 962.311200)
(-0.374620, 2.362465, 3.697144, 962.322300)
(-0.374539, 2.362483, 3.697071, 962.333400)
(-0.374750, 2.362356, 3.697457, 962.344500)
(-0.374953, 2.362304, 3.697755, 962.355600)
(-0.374913, 2.362313, 3.697681, 962.366700)
(-0.374780, 2.362315, 3.697449, 962.377800)
(-0.374721, 2.362307, 3.697357, 962.388900)
(-0.374639, 2.362295, 3.697262, 962.400000)
(-0.374580, 2.362283, 3.697134, 962.411100)
(-0.374678, 2.362203, 3.697415, 962.422200)
(-0.374677, 2.362176, 3.697435, 962.433300)
(-0.374612, 2.362181, 3.697298, 962.444500)
(-0.374711, 2.362084, 3.697487, 962.455600)
(-0.374652, 2.362078, 3.697361, 962.466700)
(-0.374734, 2.362079, 3.697452, 962.477800)
(-0.374672, 2.362080, 3.697331, 962.488900)
(-0.374839, 2.361974, 3.697578, 962.500000)
(-0.374878, 2.361925, 3.697572, 962.511100)
(-0.374827, 2.361908, 3.697465, 962.522200)
(-0.374948, 2.361800, 3.697748, 962.533400)
